anna_karenina_en.txt
--------------------
350276 words, 1531808 characters, 13593 unique words, 53 unique characters
Overall: 4.4 avg word length, 4 median word length ('only'), 8 p90 word length ('external')
Unique words: 7.6 avg word length, 7 median word length ('shouted'), 11 p90 word length ('speculators')

Words by length                    Words by frequency                 Words sorted alphabetically        Character frequencies
ne’er-do-wells 2                   together 138                       aide-de-camp                       
advance-guards 1                   found 138                          aim                                
single-hearted 1                   between 138                        aimed                              
dressing-gown 5                    may 135                            aiming                             
involuntarily 12                   soon 135                           aimless                            
looking-glass 18                   trying 134                         aimlessly                          
office-papers 1                    doing 134                          aims                               
imperceptibly 6                    taken 134                          air                                
indispensable 3                    ever 133                           airs                               
gratification 5                    doctor 133                         aise                               
revolutionary 3                    read 131                           akimbo                             
loathsomeness 3                    standing 131                       akin                               
acquaintances 28                   stood 130                          alabin                             
consciousness 24                   white 130                          alarm                              
stanislavitch 1                    each 129                           alarmed                            
sister-in-law 28                   peasants 129                       alarming                           
embarrassment 16                   called 128                         alas                               
shtcherbatsky 29                   country 128                        album                              
tightly-drawn 2                    evening 128                        albums                             
distinguished 9                    liked 127                          alder                              
determination 9                    word 127                           alders                             
philosophical 6                    women 126                          alert                              
psychological 1                    added 126                          alertly                            
physiological 2                    ready 126                          alertness                          
one-sidedness 1                    petersburg 126                     alexander                          
unconsciously 44                   happiness 126                      alexandrovitch                     
understanding 32                   letter 124                         alexandrovitch’s                   
peculiarities 3                    since 124                          alexandrovna                       
mother-in-law 3                    really 123                         alexandrovna’s                     
uncomfortable 16                   possible 123                       alexeitch                          
significantly 7                    child 123                          alexey                             
corresponding 3                    almost 122                         alexeyevitch                       
conversations 11                   madame 122                         alexey’s                           
old-fashioned 14                   ask 119                            alexyevitch                        
condescending 4                    light 118                          alias                              
argumentative 2                    point 118                          alien                              
short-cropped 2                    smiled 118                         alienation                         
table-turning 4                    steps 117                          alight                             
extraordinary 22                   used 117                           alighted                           
spiritualists 3                    please 117                         alights                            
subscriptions 2                    days 116                           alike                              
engine-driver 1                    ah 116                             aline                              
acknowledging 2                    spite 116                          aline-nadine                       
instantaneous 3                    matter 116                         aliosha                            
bobrishtchevs 1                    anyone 116                         alioshka                           
straightening 3                    sviazhsky 116                      alive                              
consideration 16                   turning 115                        all                                
intentionally 9                    cannot 115                         all-conquering                     
irrepressible 7                    along 115                          all-night                          
self-contempt 1                    sort 114                           alleviate                          
questioningly 3                    fact 114                           alleviated                         
commiseration 5                    many 114                           alley                              
countinghouse 1                    family 113                         allez                              
independently 5                    does 113                           alliance                           
senselessness 3                    seryozha 113                       allons                             
instinctively 9                    care 112                           allotted                           
handkerchiefs 1                    konstantin 111                     allow                              
entertainment 3                    far 111                            allowance                          
recollections 4                    against 111                        allowed                            
deferentially 4                    lidia 111                          allowing                           
indifferently 6                    end 110                            allows                             
philanthropic 4                    especially 110                     alloy                              
disagreements 1                    horses 110                         allude                             
light-hearted 5                    society 109                        alluded                            
writing-table 14                   afraid 109                         alluding                           
dressing-room 5                    passed 109                         allurements                        
reminiscences 7                    girl 108                           alluring                           
exceptionally 9                    morning 108                        allusion                           
heart-rending 1                    she’s 108                          allusions                          
encouragement 2                    impossible 108                     ally                               
indisposition 3                    father 107                         all’s                              
smart-looking 3                    friend 106                         almighty                           
thanklessness 1                    oblonsky 106                       almond                             
cross-examine 1                    making 106                         almond-oil                         
flaxen-headed 2                    behind 106                         almost                             
never-failing 2                    veslovsky 106                      aloft                              
maltishtcheva 2                    keep 105                           alone                              
hundred-pound 1                    minute 104                         along                              
appropriately 2                    idea 104                           alongside                          
conflagration 1                    tears 104                          aloof                              
inappropriate 2                    married 104                        aloofness                          
accompaniment 7                    soul 104                           aloud                              
new-fashioned 1                    sense 103                          alphonse                           
mathematician 1                    often 103                          already                            
slate-colored 1                    didn’t 103                         also                               
reproachfully 5                    peasant 103                        altar                              
collar-straps 1                    living 102                         altar-rails                        
muddy-looking 1                    ran 102                            alter                              
impoverishing 1                    tone 102                           altered                            
entrance-door 1                    instant 101                        altering                           
sarcastically 3                    sent 101                           alternate                          
tereshtchenko 1                    best 101                           alternately                        
comprehensive 1                    kept 100                           alternative                        
hind-quarters 6                    what’s 100                         alternatives                       
manifestation 5                    subject 100                        although                           
turning-point 2                    beginning 100                      altogether                         
unaccountable 1                    full 99                            always                             
conspicuously 4                    indeed 99                          am                                 
steel-toothed 1                    levin’s 99                         amalgamated                        
even-thudding 1                    death 99                           amalgamating                       
unsuitability 1                    immediately 99                     amalgamation                       
apportionment 1                    relations 98                       amassing                           
conscientious 6                    interest 98                        amateur                            
enlightenment 3                    lips 98                            amateurs                           
vassilievitch 9                    strange 97                         amazed                             
never-ceasing 4                    betsy 97                           amazement                          
crystallizing 1                    next 96                            amazing                            
beer-drinking 1                    land 96                            ambassador                         
convalescence 1                    moved 95                           ambassador’s                       
frenchwoman’s 1                    speaking 95                        amber                              
disconcerting 1                    meeting 95                         ambition                           
condescension 3                    high 95                            ambitious                          
fellow-worker 1                    ivanovna 95                        amble                              
contradicting 1                    true 94                            ambling                            
peasant-women 1                    money 94                           ambulance                          
impossibility 5                    else 94                            amen                               
contradiction 3                    short 93                           amenable                           
self-interest 7                    hair 93                            amend                              
incorrectness 1                    meet 93                            amending                           
well-finished 1                    nice 92                            amendment                          
circumstances 12                   today 92                           america                            
primesautière 1                    divorce 92                         american                           
spring-rattle 1                    straight 91                        ami                                
wood-merchant 1                    meant 91                           amiability                         
cowherd-woman 1                    live 90                            amiable                            
potato-hoeing 1                    understood 90                      amiably                            
ironing-board 3                    meaning 90                         amicable                           
quartermaster 5                    russian 90                         amicably                           
inconspicuous 2                    thoughts 89                        amid                               
spontaneously 1                    dress 89                           amidst                             
shoulder-cape 1                    wrong 89                           amis                               
bathing-place 3                    loved 89                           amiss                              
uninterrupted 1                    nikolay 89                         among                              
reestablished 3                    you’ve 88                          amongst                            
appurtenances 2                    hear 88                            amount                             
hieroglyphics 3                    putting 87                         amounted                           
self-flattery 1                    happened 87                        amounting                          
qualification 3                    repeated 87                        amounts                            
contravention 1                    certain 87                         amour                              
concentration 4                    stopped 87                         ample                              
blotting-case 1                    given 86                           amuse                              
